customer_id,name,email,country,age,signup_date,marketing_opt_in,tenure_days,n_orders,total_revenue,mean_order_value,total_qty_purchased,n_products_purchased,n_categories_purchased,first_order_time,last_order_time,recency_days,n_events,n_views,n_add_to_cart,n_checkouts,n_purchase_events,n_sessions_with_events,views_per_session,cart_to_view_rate,purchase_to_cart_rate,qty_Beauty,qty_Books,qty_Electronics,qty_Fashion,qty_Home & Kitchen,qty_Sports,qty_Toys,rev_Beauty,rev_Books,rev_Electronics,rev_Fashion,rev_Home & Kitchen,rev_Sports,rev_Toys,flag_qty_Beauty,flag_qty_Books,flag_qty_Electronics,flag_qty_Fashion,flag_qty_Home & Kitchen,flag_qty_Sports,flag_qty_Toys,category_variety,recency_days_log,n_orders_log,total_revenue_log,n_events_log,n_views_log,n_add_to_cart_log,n_sessions_with_events_log,n_products_purchased_log,n_categories_purchased_log,category_variety_log,cluster_kmeans,cluster_agg,cluster_dbscan
1,Jennifer Salinas,nicholas59@example.org,JP,71,2020-09-04,True,1883,2.0,115.39,57.69499999999999,3.0,2.0,2.0,2022-03-18 04:16:29,2025-06-25 16:02:53,128.0,41.0,28.0,8.0,3.0,2.0,5.0,5.6,0.2857142857142857,0.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.859812404361672,1.0986122886681098,4.756946620953885,3.7376696182833684,3.367295829986474,2.1972245773362196,1.791759469228055,1.0986122886681098,1.0986122886681098,0.6931471805599453,0,0,0
2,Phillip Ramos,christinarubio@example.com,IN,26,2020-04-05,False,2035,2.0,68.52000000000001,34.260000000000005,2.0,2.0,2.0,2023-12-16 17:48:30,2025-01-02 02:48:29,302.0,23.0,17.0,2.0,2.0,2.0,3.0,5.666666666666667,0.1176470588235294,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.28,49.13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.713732805509369,1.0986122886681098,4.241614480957137,3.1780538303479458,2.8903717578961645,1.0986122886681098,1.3862943611198906,1.0986122886681098,1.0986122886681098,0.6931471805599453,2,2,0
3,Dawn Fowler,jessica03@example.org,BR,21,2023-08-31,True,792,1.0,66.72,66.72,1.0,1.0,1.0,2020-07-04 07:39:11,2020-07-04 07:39:11,1945.0,37.0,30.0,4.0,2.0,1.0,5.0,6.0,0.1333333333333333,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.57353126274595,0.6931471805599453,4.2153815572649345,3.6375861597263857,3.4339872044851463,1.6094379124341003,1.791759469228055,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,3,0
4,Mario Butler,paula27@example.org,FR,63,2022-06-30,True,1219,2.0,279.86,139.93,5.0,3.0,2.0,2020-09-29 03:07:16,2023-08-01 00:50:26,822.0,40.0,29.0,6.0,3.0,2.0,9.0,3.2222222222222223,0.2068965517241379,0.3333333333333333,4.0,1.0,0.0,0.0,0.0,0.0,0.0,268.95,37.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,6.71295620067707,1.0986122886681098,5.637856324540034,3.713572066704308,3.4011973816621555,1.9459101490553132,2.302585092994046,1.3862943611198906,1.0986122886681098,0.5108256237659906,0,3,0
5,Amber Brown,kevin85@example.net,BR,19,2022-07-22,True,1197,3.0,271.28999999999996,90.43,4.0,4.0,3.0,2024-06-15 21:36:57,2025-01-30 02:03:28,274.0,51.0,34.0,9.0,5.0,3.0,9.0,3.7777777777777777,0.2647058823529412,0.3333333333333333,1.0,0.0,0.0,1.0,2.0,0.0,0.0,48.32,0.0,0.0,36.0,194.17,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.75,5.616771097666572,1.3862943611198906,5.606867674804115,3.9512437185814275,3.5553480614894135,2.302585092994046,2.302585092994046,1.6094379124341003,1.3862943611198906,0.5596157879354227,1,0,0
6,Kevin Chapman,michaelpoole@example.org,US,28,2020-10-21,False,1836,4.0,387.4,96.85,7.0,6.0,4.0,2021-01-17 20:52:30,2024-11-27 15:35:22,338.0,49.0,33.0,8.0,4.0,4.0,7.0,4.714285714285714,0.2424242424242424,0.5,1.0,0.0,0.0,1.0,2.0,0.0,3.0,21.9,0.0,0.0,14.55,260.22,0.0,97.8,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,5.82600010738045,1.6094379124341003,5.96203573641717,3.912023005428146,3.5263605246161616,2.1972245773362196,2.0794415416798357,1.9459101490553132,1.6094379124341003,0.5108256237659906,1,0,0
7,Timothy Sanchez,shannonbrown@example.org,IN,48,2025-07-24,False,99,2.0,96.81,48.405,2.0,2.0,2.0,2020-09-08 02:27:02,2022-09-11 17:36:57,1146.0,38.0,25.0,9.0,2.0,2.0,7.0,3.5714285714285716,0.36,0.2222222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,55.46,45.94,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.044905117129371,1.0986122886681098,4.5830268213024015,3.6635616461296463,3.258096538021482,2.302585092994046,2.0794415416798357,1.0986122886681098,1.0986122886681098,0.6931471805599453,0,3,0
8,Rachael Morales,tammy08@example.com,GB,33,2022-10-09,True,1118,1.0,207.4,207.4,4.0,1.0,1.0,2020-08-08 03:07:31,2020-08-08 03:07:31,1910.0,30.0,25.0,2.0,2.0,1.0,5.0,5.0,0.08,0.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,218.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.555381944240273,0.6931471805599453,5.339459309879212,3.4339872044851463,3.258096538021482,1.0986122886681098,1.791759469228055,0.6931471805599453,0.6931471805599453,0.6931471805599453,2,2,0
9,Laura Guzman,awright@example.org,US,32,2024-07-29,True,459,1.0,122.51,122.51,1.0,1.0,1.0,2024-05-21 13:11:41,2024-05-21 13:11:41,528.0,22.0,16.0,3.0,2.0,1.0,4.0,4.0,0.1875,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.270988431858299,0.6931471805599453,4.816322124449923,3.1354942159291497,2.833213344056216,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.6931471805599453,2,2,0
10,Alexander Lopez,brianmaxwell@example.org,JP,39,2023-01-13,True,1022,3.0,398.85,132.95000000000002,7.0,7.0,6.0,2022-12-22 14:22:57,2023-04-02 21:14:34,943.0,54.0,36.0,11.0,4.0,3.0,6.0,6.0,0.3055555555555556,0.2727272727272727,1.0,1.0,0.0,0.0,3.0,1.0,1.0,26.35,40.17,0.0,0.0,236.32,85.68,22.01,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8571428571428571,6.8501261661455,1.3862943611198906,5.991089476777899,4.007333185232471,3.6109179126442243,2.4849066497880004,1.9459101490553132,2.0794415416798357,1.9459101490553132,0.6190392084062234,1,0,0
